time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832124893578;60;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;43;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;20;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;24;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;42;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;40;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;28;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;36;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;37;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;38;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;49;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;43;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;51;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;82;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;86;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;52;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;32;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;34;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;25;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;22;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;24;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;19;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;22;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;34;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;44;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;52;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;54;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;52;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;58;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;55;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;36;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;35;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;40;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;25;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;4;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;9;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;42;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;73;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;58;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;34;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;33;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;54;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;70;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;69;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;71;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;91;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;102;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;43;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;-10;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;-2;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;40;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;74;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;70;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;54;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893578;57;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;65;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;67;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;60;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;40;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;33;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;23;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;33;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;66;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;68;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;32;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;5;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;10;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;26;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;24;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;26;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;33;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;39;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;52;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;53;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;58;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;64;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;53;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;73;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;81;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;49;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;18;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;1;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;7;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;35;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;38;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;4;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;-20;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;0;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;36;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;54;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;81;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;100;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;92;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;98;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;108;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;75;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;34;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;35;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;55;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;59;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;43;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;36;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;48;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;67;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;84;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;76;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;44;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;17;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;-2;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;6;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;40;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893625;58;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;64;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;56;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;57;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;84;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;103;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;90;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;68;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;69;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;91;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;118;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;108;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;84;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;85;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;82;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;68;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;43;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;89;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;114;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;98;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;72;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;51;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;67;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;70;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;68;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;74;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;77;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;61;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;44;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;54;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;60;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;74;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;77;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;60;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;44;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;60;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;71;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;22;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;6;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;9;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;32;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;40;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;34;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;49;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;68;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;72;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;69;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;65;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;57;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;68;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;84;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;69;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;48;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;37;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;34;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;34;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;41;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;61;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;69;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893656;58;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;45;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;11;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;-8;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;8;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;43;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;66;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;57;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;50;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;58;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;66;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;80;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;73;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;55;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;55;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;73;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;70;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;43;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;36;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;68;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
63832124893703;64;35;51;100;11628;4318;8270;4919;11041;3138;2505;16241;31
