time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832124741937;-8;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-44;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-81;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-107;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-115;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-117;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-152;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-197;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-215;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-210;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-220;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-257;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-269;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-252;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-235;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-216;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-196;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-182;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-185;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-199;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-209;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-210;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-230;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-266;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-291;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-292;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-281;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-276;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-278;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-278;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-245;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-196;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-211;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-251;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-248;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-228;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-231;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-241;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-266;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-296;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-314;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-328;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-338;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-340;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-317;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-285;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-292;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-331;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
63832124741937;-365;41;61;100;4514;2579;1472;3388;200408;9038;326;26800;52
