time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832125264203;37;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;45;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;33;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;23;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;35;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;42;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;37;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;41;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;68;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;76;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;61;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;55;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;56;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;60;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;67;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;72;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;71;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;56;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;40;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;45;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;76;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;103;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;97;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;58;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;26;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;23;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;40;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;67;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;73;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;60;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
63832125264203;38;30;81;100;10226;1805;8843;8907;8876;6686;2424;16151;38
