time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832124165590;-22;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-43;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-42;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-37;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-72;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-98;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-56;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;59;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;197;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;260;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;252;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;192;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;134;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;118;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;129;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;108;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;73;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;56;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;51;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;22;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-5;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-9;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;4;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;22;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;38;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;40;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;45;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;39;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;34;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;45;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;43;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;36;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;36;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;19;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-26;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165590;-38;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;16;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;80;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;89;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;17;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;-30;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;4;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;71;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;103;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;105;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;105;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;99;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;67;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;16;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;-10;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;7;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;38;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;45;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;53;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
63832124165622;65;23;74;100;54336;10045;12214;14084;128944;10789;3164;36929;51
