time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832124023887;81;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;102;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;107;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;64;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;-9;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;-21;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;27;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;11;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;-51;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;-66;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;-27;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;12;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;22;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;5;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;-25;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;-25;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;39;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;106;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;117;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;91;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;67;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;52;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;71;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;118;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;133;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;117;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;90;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;58;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;39;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;26;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;24;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;41;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;48;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
63832124023887;37;38;47;100;4457;1965;5155;21019;239367;5150;3620;92665;32
