time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832124336997;2;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;96;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;133;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;90;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;35;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;55;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;118;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;168;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;168;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;130;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;65;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;10;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-24;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-45;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;3;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;81;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;133;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;165;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;131;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;37;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-3;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;33;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;86;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;125;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;132;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;89;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;34;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-2;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;8;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;60;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;117;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;131;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;100;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;76;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;104;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;147;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;140;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;102;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;34;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-28;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-29;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-1;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-8;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;-1;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;65;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;115;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;92;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;39;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;57;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;141;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;227;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;251;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;234;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;201;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;153;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;106;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;90;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124336997;83;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;37;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;-1;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;-21;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;-45;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;-74;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;-77;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;-9;61;37;100;3732;1571;9286;8292;94454;7257;2811;9460;38
63832124337028;68;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;86;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;35;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-5;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;0;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;42;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;87;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;22;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-56;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-104;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-72;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;23;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;108;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;106;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;42;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;4;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-19;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-17;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;21;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;27;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;7;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-25;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-39;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-44;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-36;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;-5;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;40;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;92;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;65;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;77;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;119;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;98;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;50;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;52;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;71;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;72;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;68;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;86;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;117;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;133;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;105;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;64;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;86;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;144;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;155;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;108;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;55;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;23;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;16;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337028;69;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337075;160;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337075;200;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337075;130;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
63832124337075;64;44;66;100;133537;23699;13856;23354;920863;14637;2384;114532;38
