time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832122065424;-147;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-339;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-650;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-914;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-662;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-248;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;98;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;343;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;443;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;500;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;483;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;413;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;346;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;230;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;105;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-41;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-245;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-364;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-357;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-260;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-209;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-313;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-445;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-309;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;42;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;285;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;119;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-218;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-306;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-115;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;20;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;3;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;122;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;384;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;469;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;204;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-205;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-410;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-281;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;6;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;98;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-170;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-609;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-632;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;-133;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;389;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;480;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;256;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;124;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;144;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;72;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;36;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065424;105;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;152;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;52;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-234;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-506;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-570;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-451;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-165;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;93;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;72;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-78;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-83;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;64;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;216;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;108;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-298;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-550;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-343;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-66;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-97;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-122;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;42;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;213;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;208;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;17;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-177;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-212;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-146;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-154;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-253;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-354;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-403;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-404;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-370;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-405;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-606;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-692;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-387;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-39;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-85;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-427;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-749;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-662;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-147;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;295;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;356;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;194;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-8;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-185;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-184;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-110;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-122;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-237;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-483;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-781;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-856;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-600;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-214;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;28;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-118;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-565;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-750;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-430;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;-28;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065456;66;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-106;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-292;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-290;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-197;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-265;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-428;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-484;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-541;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-631;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-566;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-497;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-596;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-641;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-453;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-250;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-308;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-580;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-637;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-525;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-404;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-276;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-257;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-427;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-777;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1222;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1374;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1130;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-792;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-771;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1006;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1140;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1057;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-915;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-869;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-923;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-974;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1030;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1177;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1382;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1462;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1443;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1324;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1132;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1054;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1079;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1065;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-1002;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-891;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-785;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-774;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-850;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-922;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-952;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-939;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-916;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-899;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-877;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-850;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-797;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-722;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-657;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-643;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-665;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065502;-678;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
63832122065534;-647;16;51;100;68898;105266;67333;81109;540095;71130;10091;494804;32
