time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832121690299;54;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;123;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;61;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-171;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-355;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-226;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;4;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;52;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-8;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-50;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;9;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;151;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;308;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;396;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;394;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;315;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;214;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;105;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;1;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-7;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;43;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;72;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;64;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;8;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-39;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-35;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;50;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;147;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;108;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-235;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-625;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-487;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;54;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;439;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;426;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;263;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;198;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;226;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;297;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;345;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;314;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;214;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;70;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-38;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-108;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-156;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-155;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-57;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;137;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;313;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;331;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;218;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;26;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690299;-142;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;-134;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;-75;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;-167;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;-268;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;-190;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;-35;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;8;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
63832121690362;1;51;54;100;126622;88888;58397;100555;1755163;71530;25731;841565;32
