time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832122268815;288;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;168;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;98;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;36;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;-28;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;-61;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;-81;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;-76;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;-22;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;60;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;132;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;145;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;132;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;140;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;177;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;209;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;248;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;247;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;218;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;216;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;203;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;186;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;186;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;196;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;170;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;88;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;45;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;102;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;245;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;408;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;469;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;390;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;77;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;-286;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;-301;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;4;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;354;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;532;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;508;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;380;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268815;306;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;332;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;412;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;442;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;395;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;216;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;76;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;-7;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;9;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;104;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;173;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;156;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;151;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;160;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;157;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;163;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;135;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;90;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;75;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;101;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;148;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;216;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;253;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;211;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;106;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;-8;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;-82;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;-19;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;135;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;262;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;299;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;257;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;215;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;221;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;221;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;234;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;246;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;215;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;164;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;145;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;56;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;45;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;145;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;214;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;256;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;237;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;162;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;133;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;109;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;41;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;-27;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;-1;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;81;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;134;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;146;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;165;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;196;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;214;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;203;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;170;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;140;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;112;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;67;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268877;88;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;149;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;108;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-17;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-100;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-84;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-92;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-101;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-26;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;66;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;77;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;3;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;37;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;186;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;316;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;345;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;279;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;204;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;184;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;202;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;149;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;50;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;77;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;140;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;162;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;147;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;125;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;104;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;45;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-1;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;16;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;38;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;49;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;19;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-51;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-141;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-132;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;11;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;182;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;280;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;268;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;198;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;146;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;132;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;150;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;145;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;113;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;59;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;6;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-33;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-74;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;-50;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;64;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;179;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;217;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;201;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;153;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268924;83;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;35;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-70;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-153;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-131;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-98;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-130;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-113;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;74;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;214;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;161;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;151;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;242;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;332;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;324;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;184;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;26;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-35;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;36;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;124;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;67;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-100;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-194;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-105;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;87;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;242;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;288;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;145;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-45;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-89;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;28;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;99;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;124;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;180;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;240;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;260;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;235;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;132;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-9;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
63832122268956;-99;54;40;100;40697;22530;19841;80161;881096;70164;24126;396785;36
