time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832117717908;105;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717908;107;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717908;106;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717908;89;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717939;50;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717939;29;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;43;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;70;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;83;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;75;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;51;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;20;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;18;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;59;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;123;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;165;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;160;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;138;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;134;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;145;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717955;145;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;123;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;93;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;68;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;49;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;21;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-1;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-17;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-35;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-50;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-50;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-29;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-10;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-4;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-12;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-13;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;22;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;55;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;56;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;33;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;7;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-3;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-7;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-4;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;0;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-11;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-39;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-81;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117717986;-105;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;-89;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;-66;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;-51;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;-40;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;-17;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;11;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;20;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;10;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718017;17;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718064;44;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718064;72;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
63832117718064;74;48;43;100;8743;16907;8090;8912;138027;2237;550;31383;0
