time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832118224830;74;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;58;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;34;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;21;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;27;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;43;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;52;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;55;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;44;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;41;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;66;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;85;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;74;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;66;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;81;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;102;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;114;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;115;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;100;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;84;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;67;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;52;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;41;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;50;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;57;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;54;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;51;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;42;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;42;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;42;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;32;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;12;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;3;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;20;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;39;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;42;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;23;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224830;-3;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;-3;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;24;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;40;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;32;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;12;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;1;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;10;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;38;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;42;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;22;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;8;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;13;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;34;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;39;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;29;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;8;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;-10;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;-7;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;7;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;16;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;19;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;21;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;27;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;60;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;97;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;101;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;100;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;102;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;96;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;83;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;90;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;117;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;129;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;118;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;107;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;104;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;102;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;102;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;98;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;89;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;91;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;107;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;130;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;134;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;117;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;105;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;120;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;134;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;117;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;107;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;123;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;129;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;100;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;60;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;37;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
63832118224861;36;20;26;100;9997;6486;11101;8465;213841;1574;3015;68284;36
