time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832123401153;35;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;57;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;56;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;45;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;51;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;57;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;54;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;39;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;21;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;4;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;3;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;35;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;80;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;83;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;61;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;57;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;52;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;43;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;61;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;80;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;50;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;-1;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;-25;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;-21;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;3;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;21;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;29;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;24;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;13;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;52;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;100;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;92;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;53;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;22;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;-2;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;-18;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;-4;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;23;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;35;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;29;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;41;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;50;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;56;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;72;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;92;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;105;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;93;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;68;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;65;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;86;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;92;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
63832123401153;74;66;51;100;402;5005;10138;27453;72084;14057;17110;20965;50
