time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832123168086;144;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;114;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;90;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;84;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;60;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;22;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-12;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-21;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-23;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-37;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-35;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-17;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-7;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;-6;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;21;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;116;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;153;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;93;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;44;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;72;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;104;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;88;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;56;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;37;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;51;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;65;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;60;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
63832123168086;44;44;88;100;15774;33523;8518;7616;43408;13708;2466;19437;53
