time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832123508340;73;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;72;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;69;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;56;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;41;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;37;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;41;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;52;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;53;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;49;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;42;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;51;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;59;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;68;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;67;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;66;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;74;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;72;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;49;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;34;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;27;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;32;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;45;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;55;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;55;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;58;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;69;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;91;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;112;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;109;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;98;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;86;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;77;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;82;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;87;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;87;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;88;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;87;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;72;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;66;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;76;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508340;91;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;85;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;58;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;42;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;39;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;43;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;52;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;43;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;33;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;40;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;54;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;61;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;80;48;67;100;12459;5761;13286;28005;17712;12435;916;9753;210
63832123508372;99;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;105;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;100;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;83;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;75;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;91;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;106;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;103;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;84;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;56;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;38;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;38;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;48;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;50;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;51;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;51;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;57;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;60;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;58;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;59;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;80;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;90;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;83;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;77;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;88;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;101;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;103;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;99;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;92;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;91;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;82;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;66;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;55;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;59;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;69;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;80;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;92;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;84;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;56;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;48;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;68;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;86;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;77;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;68;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;59;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;44;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508372;36;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508418;44;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
63832123508418;65;69;61;100;10770;15021;46005;14956;3530;5898;2965;7290;210
