time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832186397009;34;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;37;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;33;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;28;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;36;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;57;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;82;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;67;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;44;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;44;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;45;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;53;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;84;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;102;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;90;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;49;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;27;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;50;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;64;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;52;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;49;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;53;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;43;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;34;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;33;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;34;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;41;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;54;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;84;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;87;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;44;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;48;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;74;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;77;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;41;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;18;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;39;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;35;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;20;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;37;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;43;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;26;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;44;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;89;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;92;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;67;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;38;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;12;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;25;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;72;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;87;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;67;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;48;56;61;100;7902;9240;12967;8380;13845;5944;1203;6074;46
63832186397009;33;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397009;22;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;5;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;-22;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;0;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;38;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;45;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;36;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;9;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;-25;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;-27;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;-20;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;-5;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;8;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;44;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;85;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;114;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;108;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;82;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;66;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;59;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;51;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;49;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;57;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;55;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;33;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;12;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;25;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;73;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;97;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;72;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;66;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;66;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;58;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;80;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;96;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;96;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;56;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
63832186397041;-1;57;56;100;503;375;3467;2952;77409;898;1189;7141;46
