time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832186753197;90;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;72;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;48;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;21;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;32;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;52;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;70;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;77;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;58;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;33;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;29;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;67;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;107;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;92;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;76;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;80;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;80;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;65;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;54;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;68;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;101;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;117;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;80;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;17;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;-6;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;21;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;53;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;52;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;20;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;1;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;20;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;38;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;39;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;67;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;92;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;116;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;121;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;99;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;80;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;38;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;12;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;25;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;51;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;56;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;49;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;44;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;38;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;49;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;60;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;61;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;52;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753197;40;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753228;37;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753228;43;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753228;48;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
63832186753228;32;1;53;100;15319;6047;13843;3530;806406;10358;1352;69941;43
