time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832206397125;84;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;96;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;58;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;28;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;50;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;91;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;118;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;109;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;91;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;89;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;100;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;103;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;105;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;98;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;91;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;99;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;104;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;105;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;103;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;84;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;51;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;22;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;9;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;1;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;-18;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;-30;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;-34;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;-26;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;-24;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;-22;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;-9;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;8;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;22;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;27;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;39;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;53;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;58;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;70;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;85;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;100;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;107;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;102;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;85;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;72;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;71;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;89;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;100;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;77;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397125;38;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;17;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;39;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;81;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;89;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;66;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;56;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;71;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;76;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;73;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;81;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;67;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;32;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;4;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;-1;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;0;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;8;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;44;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;66;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;48;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;32;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;37;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;51;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;56;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;56;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;40;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;16;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;2;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;8;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;25;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;51;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;51;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;18;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;18;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;58;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;84;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;69;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;41;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;34;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;41;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;53;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;65;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;56;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;38;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;28;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;35;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;45;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;56;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;64;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;43;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;26;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;39;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;65;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;80;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;83;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;83;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;68;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;49;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;28;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;12;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;9;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;29;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;59;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;69;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397171;55;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;28;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;8;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;-2;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;12;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;60;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;96;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;84;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;52;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;32;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;36;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;64;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;67;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;52;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;57;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;66;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;44;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;43;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;58;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
63832206397203;58;66;78;100;6471;5113;13464;8393;6672;10743;1653;12038;41
