time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832197140879;-23;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-37;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;2;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;71;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;59;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;18;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-20;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-26;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-30;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-45;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-10;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;42;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;41;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-35;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-51;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;38;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;43;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;25;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;65;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;112;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;106;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;0;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-34;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;2;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;51;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;81;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;18;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-85;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-62;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;42;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;108;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;98;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;75;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;34;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;12;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;17;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-11;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;7;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;96;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;131;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;70;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;21;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-53;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-53;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;0;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;29;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;57;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;60;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;3;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-58;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;-68;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;7;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;82;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140879;114;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;113;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;81;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;65;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;72;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;146;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;178;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;103;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;3;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-37;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-55;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-57;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;50;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;204;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;251;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;138;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-1;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;3;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;97;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;151;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;139;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;71;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-51;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-151;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-151;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-146;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-177;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-205;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-169;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-82;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-61;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-161;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-233;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-200;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-161;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-235;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-313;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-276;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-199;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-249;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-310;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-157;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-58;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-105;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-183;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-225;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-242;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-281;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-289;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-258;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-209;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-167;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-227;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-313;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-365;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-333;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-149;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-39;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-113;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-228;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-281;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-308;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-284;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-151;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140911;-70;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;-118;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;-195;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;-193;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;-99;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;67;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;106;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;19;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;2;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;50;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;85;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;90;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;101;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;98;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;87;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;80;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;65;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;75;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;84;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;113;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;214;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;323;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;359;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;240;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;114;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;171;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;336;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;376;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;304;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;148;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;19;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;92;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;201;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;208;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;148;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;83;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;80;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;188;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;275;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;257;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;184;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;170;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;250;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;308;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;275;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;202;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;212;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;246;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;265;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;273;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;275;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;233;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;187;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
63832197140958;162;29;47;100;2900;5779;7090;2298;85270;931;737;18854;73
