time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832196805738;58;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;52;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;26;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;18;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;38;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;44;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;38;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;57;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;80;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;70;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;53;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;54;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;70;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;69;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;68;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;73;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;71;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;68;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;64;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;55;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;57;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;60;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;56;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;52;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;66;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;84;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;101;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;88;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;67;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;61;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;73;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;88;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;91;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
63832196805738;96;43;24;100;14210;3152;3624;1480;581183;584;350;51146;52
