time;rawEEG;attention;meditation;signalStrength;alpha1;alpha2;beta1;beta2;delta;gamma1;gamma2;theta;blink
63832121984737;-33;14;61;100;39511;157192;46474;22958;328058;66336;15520;334241;55
63832121984737;-218;14;61;100;39511;157192;46474;22958;328058;66336;15520;334241;55
63832121984737;-125;14;61;100;39511;157192;46474;22958;328058;66336;15520;334241;55
63832121984737;104;14;61;100;39511;157192;46474;22958;328058;66336;15520;334241;55
63832121984737;266;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;321;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;244;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;42;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-117;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-76;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;91;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;198;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;154;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;9;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-251;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-337;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-40;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;249;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;259;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;99;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;33;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;36;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;65;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;167;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;235;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;237;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;196;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;56;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-297;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-443;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-122;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;241;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;395;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;311;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;68;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;-55;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;59;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
63832121984737;215;37;69;100;121358;16721;15991;22515;1075040;50202;6535;178144;55
